ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
〇：,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_990,Sentence,ヒドロキシチオクロメン―二―オンの一五―〇：八五―一〇〇混合物〇・〇〇二五％以下を含
一三三）,3,海洋汚染等及び海上災害の防止に関する法律施行令,30,Sentence,クロロトリフルオロエタン（別名ＨＣＦＣ―一三三）
九附,3,人事院規則九―八（初任給、昇格、昇給等の基準）,3_1,Sentence,適用については、規則九―一七―一〇九附則第三項第三号イ中「当該下位の職務の級に
一〇ボ,3,電気用品安全法施行令,,Sentence,２　電子応用機械器具用変圧器（定格容量が一〇ボルトアンペアを超える電源変圧器に限り、機
一・二九号,3,関税暫定措置法,7_9_1,Sentence,譲許適用物品である関税定率法別表第〇一〇一・二九号の二の（二）に掲げる物品のうち、一頭の課
三ヨ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,5_95,Sentence,チルヨージド（別名三ヨウ化エチルガラミン）及びその製剤
千舟,3,港則法施行規則,,Sentence,港口防波堤、春日出橋、船津橋、端建蔵橋、千舟橋、大阪北港口防波堤灯台から百度千百十メ
二十点,3,,6_2_1,Sentence,地帯、多雪地帯等で、不健康地である場合は二十点以内で都道府県（指定都市の設置する小学校
三百二十二万,3,介護保険法施行令,8_3,Sentence,事業を除く。）に要する費用の額（当該額が三百二十二万五千円を超える場合にあっては、三百二十二
七十一年,3,無線機器型式検定規則,3,Sentence,規定による型式検定に合格したものは、昭和七十一年十二月一日にその合格の効力を失う。
八百七十分,3,国民健康保険の調整交付金等の交付額の算定に関する省令,2_1,Sentence,する特別調整交付金の額の算定にあっては、八百七十分の九百九十）」と、平成三十二年度分の特別
〇九五〇号,3,廃棄物の処理及び清掃に関する法律施行規則,8_4_2_1_6_4,Sentence,掲げる産業廃棄物であつて、日本産業規格Ｃ〇九五〇号に規定する含有マークが付されたものである
五十五秒,3,海洋水産資源開発促進法施行令,,Sentence,度五十分十九秒の点、北緯四十一度四十八分五十五秒東経百四十一度十三分十一秒の点、北緯四十
〇・九五（,3,満載喫水線規則,26_1_8,Sentence,り同時に浸水するおそれのある他の区画室に〇・九五（機関区域については〇・八五）の想定浸水率
四八秒,3,港則法施行令,,Sentence,北見枝幸港島防波堤灯台（北緯四四度五五分四八秒東経一四二度三六分二秒）から三〇六度一、
〇・七五を,3,普通交付税に関する省令,38_1,Sentence,に、別表第十一に定める率を乗じて得た額に〇・七五を乗じて得た額とする。
六。,3,自転車競技法,,Sentence,売上金の額の千分の六。ただし、売上金の額の千分の九百七十六が三
四一〇七・九九号,3,関税暫定措置法,,Sentence,・九一号の二、第四一〇七・九二号の二、第四一〇七・九九号の二、第四一一二・〇〇号の二の（一）、第
五百ヘ,3,土地改良法施行令,49_1_3,Rt,与することが明らかなもののうち、おおむね五百ヘクタール以上の地積にわたる土地を受益地と
百三十五号,3,たばこ税法施行令,6_1,Sentence,係る国税通則法施行令（昭和三十七年政令第百三十五号）第五十三条の規定の適用については、同条
百五十五に,3,農業保険法施行令,41_1,Sentence,のにあっては第二号に掲げる金額の千分の八百五十五に相当する金額とする。
四二一・九九号,3,関税暫定措置法,,Sentence,〇号の二、第四四二一・九一号の三又は第四四二一・九九号の二の（二）に掲げる物品
二〇ト,3,電波法施行規則,28_1_1_4,Sentence,従事する旅客船以外の船舶であつて総トン数二〇トン以上の船舶（国際航海に従事しない総トン
・二・三・三―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_722,Sentence,名テラレトリン）及びその製剤。ただし、二・二・三・三―テトラメチルシクロプロパンカルボン酸
一四、,3,戦傷病者戦没者遺族等援護法,2_1,Sentence,」と、「五五七、六〇〇円」とあるのは「五一四、五五〇円」と、「次条第一項の厚生年金加算
四三デ,3,電波法施行規則,46_2_1_2_3,Sentence,は、スプリアス発射の強度が搬送波出力より四三デシベル以上低いこと。
六・五Ｍ,3,無線設備規則,45_20_1,Sentence,航空機地球局の無線設備であつて、一、六二六・五ＭＨｚを超え一、六六〇・五ＭＨｚ以下の周波
三百三十七号,3,国民年金法施行令,1_1_2,Sentence,伴う経過措置に関する政令（平成元年政令第三百三十七号）第二条の規定により読み替えて適用する場
三坂,3,職業安定法施行規則,2,Sentence,とされていた同県比婆郡東城町大字新免及び三坂の区域は、この省令施行の日から、それぞれ
四十立,3,労働安全衛生法施行令,13_3_29,Sentence,内燃機関を内蔵するものであつて、排気量が四十立方センチメートル以上のものに限る。）
一二・三一号,3,関税暫定措置法,,Sentence,関税率表第四四一二・一〇号の一又は第四四一二・三一号から第四四一二・三九号までに掲げる物品
〇・〇三九を,3,国家公務員共済組合法施行令,4_1,Sentence,分に応じてそれぞれ同表の下欄に掲げる率に〇・〇三九を乗じて得た率を乗じて得た金額をいう。）を
三十一分,3,港則法施行規則,,Sentence,北緯四十度三十一分四十二秒東経百四十一度三十一分十七秒
八五東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（２７１）　北緯二六度五七分四四秒・五二八五東経一四八度四七分三秒・四〇三八の点
七ｓ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_839,Sentence,四―｛［（一Ｒ・二ｓ・三Ｓ・五ｓ・七ｓ）―五―ヒドロキシアダマンタン―二―イル
・二五―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_51,Sentence,ロキシエチル］―五・八・一四・一九・二二・二五―ヘキサオキソテトラコサヒドロ―一Ｈ―ジピ
五二〇五・三五号,3,関税暫定措置法,,Sentence,・三三号の一、第五二〇五・三四号の一、第五二〇五・三五号の一、第五二〇五・四一号の一、第五二〇五
・七・八―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_404,Sentence,一―（三級ブチルアミノ）―三―〔（五・六・七・八―テトラヒドロ―シス―六・七―ジヒドロキシ
七・五メ,3,港湾法施行規則,17_3_1_1_1,Sentence,留するための岸壁その他の係留施設（水深が七・五メートル以上のものに限る。）及びこれに連続
一六メ,3,港湾法施行令,,Sentence,（２５）　（２４）に掲げる地点から五九度一六メートルの地点
四四〇九・二一号,3,関税暫定措置法,,Sentence,しくは二の（二）、第四四〇九・一〇号、第四四〇九・二一号の二、第四四〇九・二二号の一若しくは二、
二四〇二）,3,海洋汚染等及び海上災害の防止に関する法律施行令,8,Sentence,ブロモテトラフルオロエタン（別名ハロン―二四〇二）
五〇個,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_831,Sentence,のイプシロンアミノ基をミリストイル化した五〇個のアミノ酸残基からなる修飾ポリペプチド（
八七類,3,関税定率法,,Sentence,ｄ）　かご細工製の乗物及びそのボデー（第八七類参照）
六〇〇、,3,昭和二十七年十月三十一日以前に給与事由の生じた恩給等の年額の改定に関する法律,1,Sentence,給年額の計算の基礎となつている俸給年額が六〇〇、〇〇〇円をこえる場合においては、その俸給
六千九百円,3,船舶油濁等損害賠償保障法施行規則,14_1_1,Sentence,理組織を使用して申請する場合にあっては、六千九百円）
四八五、,3,特別交付税に関する省令,6_1_35,Sentence,「三、四三五、〇〇〇円」とあるのは「三、四八五、〇〇〇円」と、「二、七五〇、〇〇〇円」と
六三東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（１８０）　北緯二七度二九分四二秒・七九六三東経一四八度一八分一九秒・一九五二の点
三千四百五十円,3,道路交通法施行令,43_1,Sentence,る自動車を使用して受ける場合にあつては、三千四百五十円）
二六・二六二五Ｍ,3,電波法施行規則,6_4_3,Sentence,が八・五ｋＨｚ以下の場合に限る。）又は四二六・二六二五ＭＨｚ及び四二六・二六二五ＭＨｚに二五ｋＨ
百三、,3,工業所有権に関する手続等の特例に関する法律施行規則,,Sentence,おいて準用する場合を含む。別表第一の二の百三、百五、百六、百九及び百十の項において同じ
一一五）,3,海洋汚染等及び海上災害の防止に関する法律施行令,5,Sentence,クロロペンタフルオロエタン（別名ＣＦＣ―一一五）
一一・九〇号,3,関税定率法,1_1_1,Sentence,第一条の規定（同条中関税定率法別表第一二一一・九〇号の改正規定を除く。）及び第二条の規定（次
三十三秒,3,海洋水産資源開発促進法施行令,,Sentence,四度十八分三十三秒東経百四十一度三十七分三十三秒の点、北緯四十三度五十七分三十九秒東経百
二百号,3,恩給給与規則,10_8_1_2,Sentence,セザリシコト及請求者ガ公務員死亡後法律第二百号施行迄ノ間ニ於テ恩給法ニ規定スル扶助料ヲ
六室,3,国土技術政策総合研究所組織規則,51_1,Sentence,建築研究部に、次の六室を置く。
二〇本,3,電波法施行規則,2_1_28_3_2,Sentence,走査方式が順次であつて、有効走査線数が七二〇本以上二、一六〇本未満のもの
六百六十メ,3,港則法施行規則,,Sentence,南端まで引いた線、同地点から二百八十六度六百六十メートルの地点まで引いた線及び陸岸により囲
二母,3,医療法施行規則,17_1_2,Sentence,平方メートル以上、二母子以上を入所させるためのものにあつては一
十一単,3,保健師助産師看護師学校養成所指定規則,3,Sentence,上適切と認められる場合において、臨地実習十一単位以上及び臨地実習以外の教育内容二十単位
一五七・四五Ｍ,3,電波法施行規則,41_2_6_1_8_1,Sentence,Ｆ二Ｂ電波又はＦ三Ｅ電波一五六ＭＨｚから一五七・四五ＭＨｚまでの周波数を使用する空中線電力五ワ
五十一に,3,放射性同位元素等の規制に関する法律施行規則,37_1,Sentence,変更を生じたときは、遅滞なく、別記様式第五十一による放射線取扱主任者免状訂正申請書に免状
三滝,3,工業用水法施行規則,17,Sentence,道二十三号線以東で、三滝川以南の地域に限る。）
五百十三条,3,国際受刑者移送法,21_1,Sentence,」とあるのは「東京地方裁判所」と、同法第五百十三条第一項中「裁判の執行を受ける者若しくは裁
一・〇三四を,3,昭和四十四年度以後における私立学校教職員共済組合からの年金の額の改定に関する法律,1_12_1,Sentence,の改定の基礎となつた平均標準給与の月額に一・〇三四を乗じて得た金額に三千二百円を十二で除して
二十三万,3,計量法関係手数料規則,,Sentence,げる試験を行う必要がない型式にあっては、二十三万八千九百円とする。
二九・三七項,3,関税定率法,,Sentence,、糖アセタールの塩及び糖エステルの塩（第二九・三七項から第二九・三九項までの物品を除く。）
・二五号,3,関税暫定措置法,,Sentence,号まで、第五二一二・一五号又は第五二一二・二五号に掲げる物品のうち
五五〇（,3,特定計量器検定検査規則,620_1,Sentence,積算熱量計の表記事項は、日本産業規格Ｂ七五五〇（二〇一七）附属書による。
三十六、,3,植物防疫法施行規則,,Sentence,ゴウ属植物（付表第十五から第十七まで、第三十六、第四十八、第五十、第五十七及び第六十一に
〇・〇二％,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,7_4,Sentence,ナ総アルカロイド又はダツラ総アルカロイド〇・〇二％以下を含有し、かつ、一容器中ロート総アル
十一を,3,厚生年金保険法施行令,2_2,Sentence,一」とあるのは、「に、三分の二から千分の十一を控除した率を乗じて得た額から、八百二十一
八十五分,3,地方財政法施行令,13_1_5,Sentence,特定収入見込額」という。）を控除した額の八十五分の百に相当する額並びに特定収入見込額の合
六三度,3,乳及び乳製品の成分規格等に関する命令,4_3,Sentence,乳酸菌飲料を除く。）は、保持式により摂氏六三度で三〇分間加熱殺菌するか、又はこれと同等
一八一円,3,特別交付税に関する省令,3_1_3_1,Sentence,つては、前々年度の決算における供給単価が一八一円以上の事業に限る。次号において同じ。）に
一・六倍,3,道路標識、区画線及び道路標示に関する命令,1_5,Sentence,路線を表す記号については日本字の大きさの一・六倍以下、方面としての路線を表す記号について
三百グ,3,消火器の技術上の規格を定める省令,6_3,Sentence,した平らな試験片を鋼製の台の上に固定し、三百グラムのおもりの先端に直径二十五ミリメート
・一一―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_1003,Sentence,一・二・三・四・五・六―ヘキサヒドロ―六・一一―ジメチル―三―（三―メチル―二―ブテニル
一″,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_208,Sentence,三―エチルチオ―一〇―〔三′―（一″―メチルピペラジノ）―プロピル〕―フエノ
一二一一）,3,海洋汚染等及び海上災害の防止に関する法律施行令,6,Sentence,ロモクロロジフルオロメタン（別名ハロン―一二一一）
八反,3,公職選挙法,1287_1,Sentence,、大膳町、山ノ端町、桜馬場、城北町、北八反町、宝町、小津町、越前町一丁目、越前町二
一三七度,3,港則法施行令,,Sentence,岩崎ノ鼻灯台（北緯三六度四八分三〇秒東経一三七度二分五九秒）から三〇八度一、一〇〇メート
・〇五％,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_120,Sentence,二一―アセタート（別名フルオシノニド）〇・〇五％以下を含有する外用剤
一三の,3,関税暫定措置法施行令,19_8_3,Sentence,て「貿易統計」という。）」と、「（同表の一三の項から一四の二の項まで及び二一の項に掲げ
七反,3,公職選挙法,1073_1,Sentence,、木場十八反町、木場前中町、木場前七反町、京口町、京町一丁目、京町二丁目、京町
九二五一に,3,移動等円滑化のために必要な旅客施設又は車両等の構造及び設備並びに旅客施設及び車両等を使用した役務の提供の方法に関する基準を定める省令,2_1_2,Sentence,より容易に識別できるもの（日本産業規格Ｔ九二五一に適合するものに限る。）をいう。
七輪,3,商標法施行規則,,Sentence,ガスレンジ　かまど　バーベキューグリル　七輪　石油こんろ　天火
一ば,3,医療法施行規則,30_4_2,Sentence,カーマ（以下「空気カーマ」という。）が、一ばく射につき一・〇マイクログレイ以下になる
二千分,3,特定計量器検定検査規則,20_1_3,Sentence,定公差は、表す量に応じ、目量がひょう量の二千分の一未満のものにあっては次の表の一、目量
三五分,3,港湾法施行令,,Sentence,（３）　東京中央防波堤西灯台（北緯三五度三五分三三秒東経一三九度四七分二六秒）から一二
一一三）,3,海洋汚染等及び海上災害の防止に関する法律施行令,3,Sentence,リクロロトリフルオロエタン（別名ＣＦＣ―一一三）
一〇・四九号,3,関税暫定措置法,,Sentence,四九号まで、第五二一〇・一一号から第五二一〇・四九号まで、第五二一一・一一号から第五二一一・
一迫,3,一般国道の路線を指定する政令,1_1,Sentence,中田町　同郡迫町　同県栗原郡築館町　同郡一迫町　同郡花山村　湯沢市　秋田県由利郡東由
六百五十円,3,道路交通法施行令,43_1,Sentence,得者」という。）に対する交付にあつては、六百五十円に、与える免許一種類ごとに二百円を加えた
・五Ｇ,3,無線設備規則,,SectionTitle,第四節の二十二の二　六・五ＧＨｚ帯又は七・五ＧＨｚ帯の周波数の電波を使用する陸上移動業
二一デ,3,無線設備規則,14_1,Sentence,次に掲げる送信設備であつて、空中線電力が二一デシベル（一ミリワットを〇デシベルとする。
・一六項,3,関税暫定措置法,1_1_2,Sentence,〇八・四〇号、第八二〇一・五〇号、第八四・一六項、第八四一八・五〇号、第八四・七〇項、第
二十八人,3,公職選挙法,149_2,Sentence,院名簿届出政党等の衆議院名簿登載者の数（二十八人を超える場合においては、二十八人とする。
二三―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_51,Sentence,―三―アミノ―一―ヒドロキシプロピル］―二三―［（一Ｓ・二Ｓ）―一・二―ジヒドロキシ―
四五Ｍ,3,無線設備規則,49_6_4_2_1_2,Sentence,ものにあつては、受信した電波の周波数より四五ＭＨｚ低い周波数
十三関,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,1,RelatedArticleNum,（第二百二十八条の十二、第二百二十八条の十三関係）
一・三・五―,3,毒物及び劇物取締法施行規則,2_90,Sentence,二―チオ―三・五―ジメチルテトラヒドロ―一・三・五―チアジアジン及びこれを含有する製剤
三峰,3,地方整備局組織規則,,Sentence,天竜川上流ダム群（三峰川美和ダム及び小渋川小渋ダム）
一〇ｇ,3,乳及び乳製品の成分規格等に関する命令,10_1,Sub,補正する（ｐＨの修正不要。）。これに乳糖一〇ｇ二％エオジン水溶液（エオジン黄）二〇ｍｌ
一職,3,労働基準法施行規則,38_4_1,Sentence,上負傷し、又は疾病にかかつた労働者と同一職種の同一条件の労働者がいない場合における
十よ,3,昭和四十二年度以後における地方公務員等共済組合法の年金の額の改定等に関する法律,10_6_2,Sentence,して得た割合（その割合が百分の八十より少ないときは、百分の八十）を乗じて得た
〇二・一〇号,3,関税暫定措置法,,Sentence,関税率表第七五〇一・二〇号の一又は第七五〇二・一〇号に掲げる物品
十ｐ,3,消防用ホースの技術上の規格を定める省令,39_1_2,Sentence,五十ｐｐｈｍ
三作,3,土地分類調査作業規程準則,1_1,Sentence,作数区分「一年一作、一年二作、一年三作又は二年三作の区分」及び作付区分「普通作
二百三十三号,3,食品衛生法施行規則,4_1,Sentence,施行日前に食品衛生法（昭和二十二年法律第二百三十三号）第四条第七項に規定する営業（同法第六十
一俸,3,人事院規則九―一七（俸給の特別調整額）,3_2,Sentence,同一俸給表適用職員であって、施行日の前日に属し
〇・五九号,3,関税暫定措置法,,Sentence,五九号まで、第五二一〇・五一号、第五二一〇・五九号、第五二一一・五一号から第五二一一・五九
六〇％,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_749,Sentence,酢酸及びその製剤。ただし、トリクロル酢酸六〇％以下を含有する体外診断薬を除く。
・六・八・一二・一二ａ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_575,Sentence,｝―四―メチル―六・八―ジオキソ―三・四・六・八・一二・一二ａ―ヘキサヒドロ―二Ｈ―ピリド［一′・二′
二百六十円,3,旅客自動車運送事業運輸規則,67_1_2,Sentence,付又は再交付の申請をする場合にあつては、二百六十円）
六二六・五Ｍ,3,電波法施行規則,12_5_2,Sentence,Ｑ七Ｗ電波一、六一八・二五ＭＨｚから一、六二六・五ＭＨｚまでの周波数帯のうち総合通信局長が指
五十二秒,3,港則法施行規則,,Sentence,高潮防波堤東信号所（北緯三十四度五十九分五十二秒東経百三十六度四十九分十一秒）
二三デ,3,無線設備規則,14_1,Sentence,次に掲げる送信設備であつて、空中線電力が二三デシベル（一ミリワットを〇デシベルとする。
五六〇七・五〇号,3,関税暫定措置法,,Sentence,六〇七・四一号、第五六〇七・四九号又は第五六〇七・五〇号に掲げる物品
二十二秒,3,漁港及び漁場の整備等に関する法律施行令,1_2_1_2,Sentence,北緯三十五度六分五十九秒東経百三十度七分二十二秒の点、北緯三十五度七分十一秒東経百三十度
二消,3,消火器の技術上の規格を定める省令,4_1,Sentence,火器のＢ火災に対する能力単位の数値は、第二消火試験及び第三消火試験により測定するもの
〇・六立,3,建築基準法施行令,31_1_3,Sentence,置が講じられたものにあつては、その容積は〇・六立方メートル以上で、かつ、八十日以上）貯留
九〇一・九〇号,3,関税暫定措置法,7_3_2_4,Sentence,〇号の一の（二）のＡ及び（三）並びに第一九〇一・九〇号の一の（二）のＡ及び（三）に掲げる穀粉等
・一二項,3,関税定率法,,Sentence,二・〇七項から第三二・一〇項まで、第三二・一二項、第三二・一三項又は第三二・一五項のその
百十七度,3,港則法施行規則,,Sentence,は係留施設に係留する場合を除きＡ地点から百十七度五百六十メートルの地点まで引いた線、同地
三ベ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_757,Sentence,ロ〔三・三・一〕ノン―三ベータ―イル
九十七に,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,202_1,Sentence,医療機器又は再生医療等製品について様式第九十七による検査記録表を作成しておかなければなら
二復,3,昭和二十一年二復省令第一号（死亡ニ関スル諸手続ヲ完了シタル海軍軍人及軍属生還シタル場合ニ於ケル届出等ニ関スル件）,1_1,Sentence,区町村長ヲ経テ本人ノ旧在籍ノ区分ニ従ヒ第二復員省人事局長又ハ地方復員局人事部長（以下
二百四十九号,3,河川法,6_6,Sentence,河川管理者は、森林法（昭和二十六年法律第二百四十九号）第二十五条若しくは第二十五条の二の規定
九〇ｋ,3,電波法施行規則,46_2_1_3_5,Sentence,この表の規定にかかわらず、七九ｋＨｚ以上九〇ｋＨｚ以下の周波数においては、六八・四デシ
五二五Ｇ,3,電波法施行規則,41_2_6_1_14,Sentence,無線標定陸上局（四二六・〇ＭＨｚ、一〇・五二五ＧＨｚ、一三・四一二五ＧＨｚ、二四・二ＧＨ
二十二順,3,児童福祉法施行令,3_1_1_2,Sentence,県から順次その順位を付した場合における第二十二順位から第二十六順位までに該当する都道府県
七十四度,3,海洋汚染等及び海上災害の防止に関する法律施行令,,Sentence,六・一五分西経七十度六・六九分の点、北緯七十四度二・五三分西経六十九度五十一・四三分の点
五二〇七・一〇号,3,関税暫定措置法,,Sentence,・四四号の一、第五二〇六・四五号の一、第五二〇七・一〇号の一若しくは二の（一）又は第五二〇七・九
七一東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（４６１）　北緯二四度一三分二五秒・三三七一東経一四八度八分四五秒・四七二七の点
二百四十三号,3,国家公務員共済組合法施行規則,105_5_1,Sentence,付は、健康保険法施行令（大正十五年勅令第二百四十三号）第四十一条第一項第二号に規定する厚生労
二八分,3,港湾法施行令,,Sentence,（１２５）　宇野港口飛州灯台（北緯三四度二八分二六秒東経一三三度五六分五二秒）から三〇
二型,3,じん肺法,4_1,Sentence,第二型
二四八Ｍ,3,電波法施行規則,6_2_4_1_3,Sentence,六ＭＨｚ以下の周波数のうち、一、八八五・二四八ＭＨｚ及び一、八八五・二四八ＭＨｚに一、七
四一〇四・一一号,3,関税暫定措置法,,Sentence,中のもののうちなめしを終えてないもの、第四一〇四・一一号の二、第四一〇四・一九号の二、第四一〇四
九三東,3,排他的経済水域及び大陸棚に関する法律第二条第二号の海域を定める政令,1,Sentence,（２０６）　北緯二七度二七分三一秒・四二九三東経一四八度二七分四七秒・六三〇一の点
八九六個,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_833,Sentence,イニーズハムスター卵巣細胞から産生される八九六個のアミノ酸残基からなる糖タンパク質（別名
五千ル,3,火災報知設備の感知器及び発信機に係る技術上の規格を定める省令,10_2,Sentence,、通電状態において、白熱ランプを用い照度五千ルクスの外光を十秒間照射し十秒間照射しない
八・一四・一七・二三―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_307,Sentence,ドロキシエチル］―二六―メチル―二・五・八・一四・一七・二三―ヘキサオキソ―一八―［四―［五―（四―ペ
十八箇,3,雇用保険法施行規則,112_2_1_3,Sentence,日（当該届を（１）に掲げる日から起算して十八箇月を経過する日までの間に提出しない場合に
・四・四ａ,3,化学物質の審査及び製造等の規制に関する法律施行令,1_1_4,Sentence,一・二・三・四・十・十―ヘキサクロロ―一・四・四ａ・五・八・八ａ―ヘキサヒドロ―エキソ―一
五百二十四条,3,商法,556_1,Sentence,はこれを受領することができないときは、第五百二十四条の規定を準用する。
一緒,3,電波法施行規則,2_2,Sentence,ケーブル類は次の図のとおり一緒にして引き回し、直径２メートルのループア
七／,3,経済施策を一体的に講ずることによる安全保障の確保の推進に関する法律施行令,12_1_11,Sentence,七／五二、Ｇ〇一Ｓ七／五二一、Ｇ〇一Ｓ七／五二三、Ｇ〇一Ｓ七／五二四、Ｇ〇一Ｓ七／
四千七百円,3,税関関係手数料令,5_1,Sentence,して当該許可の申請を行う場合にあつては、四千七百円とする。
三十七及,3,建築基準法施行規則,1,Sentence,ただし、第一条、第四条の二十五、第四条の三十七及び第四条の三十九の改正規定は、公布の日か
一・六］,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_463,Sentence,ロシクロペンタ［ｃ］シクロプロパ［ｇ］［一・六］ジアザシクロテトラデシン―一二ａ―カルボ
百九十六キ,3,電気事業法施行規則,1_2_4,Sentence,通常の使用状態での温度における飽和圧力が百九十六キロパスカル以上であって、現に液体の状態で
〇二五Ｍ,3,電波法施行規則,12_8,Sentence,二　Ｇ一Ｂ電波若しくはＧ一Ｄ電波四〇六・〇二五ＭＨｚ、四〇六・〇二八ＭＨｚ、四〇六・〇三
七］,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_380,Sentence,ロ―一Ｈ―ジベンゾ［二・三：六・七］オキセピノ［四・五―ｃ］ピロール（別名ア
十五様,3,海洋汚染等及び海上災害の防止に関する法律施行規則,20_1,Sentence,関する規則第２９条第１項」と、検査規則第十五様式中「海洋汚染等防止証書等書換申請書」と
千九百六十二年,3,沖縄の復帰に伴う警察庁関係法令の適用の特別措置等に関する政令,13_1,Sentence,に迷惑をかける行為の防止等に関する立法（千九百六十二年立法第二十三号）第三条第一項の規定に基づ
四十三万,3,恩給法,13_1,Sentence,額の計算の基礎となつている仮定俸給年額が四十三万八百円以上の普通恩給又は普通扶助料を受け
一・四一ｍ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_742,Sentence,ミン及びその製剤。ただし、トラフエルミン一・四一ｍｇ以下を含有する外用剤を除く。
三・五五三Ｍ,3,電波法施行規則,46_2_1_4,Sentence,に定める値以下であること（利用周波数が一三・五五三ＭＨｚから一三・五六七ＭＨｚまでの範囲のも
百十四万,3,恩給法,11_4,Sentence,の規定の適用については、これらの規定中「百十四万円」とあるのは「百八万八千円」と、「八十
〇・〇二五パ,3,電波法施行規則,11_3_1_7,Sentence,当該設備から発射される電波の特性周波数を〇・〇二五パーセント（九ｋＨｚを超え五二六・五ｋＨｚ
百十）,3,高齢者の医療の確保に関する法律による保険者の前期高齢者交付金等の額の算定等に関する省令,4_1,Sentence,当該率が百分の百十を超えるときは、百分の百十）とする。
・二〇Ｓ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_51,Sentence,・九Ｓ・一一Ｒ・一二Ｓ・一四ａＳ・一五Ｓ・二〇Ｓ・二三Ｓ・二五ａＳ）―一二―［（二―アミ
一負,3,漁船検査規則,9_1_8,Sentence,四分の一負荷に相当する荷重
二二八〇―,3,揮発油等の品質の確保等に関する法律施行規則,22_3,Sentence,出した場合における数値又は日本産業規格Ｋ二二八〇―四号（石油製品―オクタン価、セタン価及び
二十五リ,3,一般高圧ガス保安規則,50_1_1,Sentence,両に積載して移動するとき（容器の内容積が二十五リットル以下である充?容器等（毒性ガスに係
二百八十号,3,独立行政法人等登記令,2_1,Sentence,郵便募金管理会登記令（昭和三十三年政令第二百八十号）
〇・〇二パ,3,漁船検査規則,36_1_2,Sentence,ースバーがスーパーパーマロイ、炭素含有量〇・〇二パーセント以下の純鉄又はこれらと同等若しく
四一〇四・一九号,3,関税暫定措置法,,Sentence,・九〇号の二、第四一〇四・一一号の二、第四一〇四・一九号の二、第四一〇四・四一号の一の（二）及び
九書,3,支出官事務規程,19_2_5,Sentence,第九号の九書式による防衛省職員被服代払込金額表
四七〇Ｍ,3,無線設備規則,9_2_1,Sentence,七五ＭＨｚ以下又は三三五・四ＭＨｚを超え四七〇ＭＨｚ以下を使用する無線電話局
七十セ,3,宅地造成及び特定盛土等規制法施行令,10_1_1,Sentence,チメートル以上、その他のものであるときは七十センチメートル以上であること。
一・一〇―,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,5_145,Sentence,エニル―トリメチルアンモニウムブロミド―一・一〇―デカメチレンビスカルバミン酸エステル（別
一〇μ,3,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律施行規則,10_711,Sentence,サイクリツク（二―七）ジスルフイドとして一〇μｇ以下を含有する製剤を除く。
二百未,3,医療法施行規則,11_2,Sentence,「経過的旧その他の病床」という。）の数が二百未満のもの又は別に厚生労働大臣が定める地域
千九十メ,3,港則法施行規則,,Sentence,十　横浜大黒防波堤西灯台から百四十四度二千九十メートルの地点
五二〇六・四三号,3,関税暫定措置法,,Sentence,・四一号の二、第五二〇六・四二号の二、第五二〇六・四三号の二、第五二〇六・四四号の二、第五二〇六
